Energy_MeV,Total_dEdx_MeV_per_cm,Mass_dEdx_MeV_cm2_per_g
0.1000,672.429331,672.429331
0.2000,553.212463,553.212463
0.3000,452.453489,452.453489
0.4000,383.277666,383.277666
0.5000,333.507561,333.507561
0.6000,295.958077,295.958077
0.7000,266.544738,266.544738
0.8000,242.819564,242.819564
0.9000,223.232789,223.232789
1.0000,206.756006,206.756006
1.1000,192.679424,192.679424
1.2000,180.496796,180.496796
1.3000,169.836907,169.836907
1.4000,160.421057,160.421057
1.5000,152.035708,152.035708
1.6000,144.514334,144.514334
1.7000,137.725050,137.725050
1.8000,131.561963,131.561963
1.9000,125.939015,125.939015
2.0000,119.577642,119.577642
2.1000,115.237430,115.237430
2.2000,111.230736,111.230736
2.3000,107.519245,107.519245
2.4000,104.070393,104.070393
2.5000,100.856317,100.856317
2.6000,97.853026,97.853026
2.7000,95.039747,95.039747
2.8000,92.398394,92.398394
2.9000,89.913147,89.913147
3.0000,87.570099,87.570099
3.1000,85.356979,85.356979
3.2000,83.262909,83.262909
3.3000,81.278216,81.278216
3.4000,79.394262,79.394262
3.5000,77.603313,77.603313
3.6000,75.898420,75.898420
3.7000,74.273320,74.273320
3.8000,72.722355,72.722355
3.9000,71.240397,71.240397
4.0000,69.822790,69.822790
4.1000,68.465293,68.465293
4.2000,67.164038,67.164038
4.3000,65.915486,65.915486
4.4000,64.716394,64.716394
4.5000,63.563784,63.563784
4.6000,62.454917,62.454917
4.7000,61.387268,61.387268
4.8000,60.358507,60.358507
4.9000,59.366477,59.366477
5.0000,58.409184,58.409184
5.1000,57.484774,57.484774
5.2000,56.591528,56.591528
5.3000,55.727845,55.727845
5.4000,54.892234,54.892234
5.5000,54.083304,54.083304
5.6000,53.299758,53.299758
5.7000,52.540380,52.540380
5.8000,51.804034,51.804034
5.9000,51.089653,51.089653
6.0000,50.396239,50.396239
6.1000,49.722853,49.722853
6.2000,49.068611,49.068611
6.3000,48.432682,48.432682
6.4000,47.814285,47.814285
6.5000,47.212681,47.212681
6.6000,46.627174,46.627174
6.7000,46.057105,46.057105
6.8000,45.501854,45.501854
6.9000,44.960831,44.960831
7.0000,44.433480,44.433480
7.1000,43.919272,43.919272
7.2000,43.417706,43.417706
7.3000,42.928309,42.928309
7.4000,42.450628,42.450628
7.5000,41.984234,41.984234
7.6000,41.528720,41.528720
7.7000,41.083697,41.083697
7.8000,40.648797,40.648797
7.9000,40.223666,40.223666
8.0000,39.807969,39.807969
8.1000,39.401385,39.401385
8.2000,39.003610,39.003610
8.3000,38.614351,38.614351
8.4000,38.233329,38.233329
8.5000,37.860277,37.860277
8.6000,37.494940,37.494940
8.7000,37.137074,37.137074
8.8000,36.786445,36.786445
8.9000,36.442829,36.442829
9.0000,36.106011,36.106011
9.1000,35.775785,35.775785
9.2000,35.451953,35.451953
9.3000,35.134327,35.134327
9.4000,34.822723,34.822723
9.5000,34.516967,34.516967
9.6000,34.216892,34.216892
9.7000,33.922334,33.922334
9.8000,33.633139,33.633139
9.9000,33.349157,33.349157
10.0000,33.070245,33.070245
10.1000,33.143662,33.143662
10.6000,31.874118,31.874118
11.1000,30.707544,30.707544
11.6000,29.631597,29.631597
12.1000,28.635855,28.635855
12.6000,27.711456,27.711456
13.1000,26.850815,26.850815
13.6000,26.047397,26.047397
14.1000,25.295542,25.295542
14.6000,24.590323,24.590323
15.1000,23.927429,23.927429
15.6000,23.303070,23.303070
16.1000,22.713902,22.713902
16.6000,22.156962,22.156962
17.1000,21.629615,21.629615
17.6000,21.129508,21.129508
18.1000,20.654534,20.654534
18.6000,20.202803,20.202803
19.1000,19.772610,19.772610
19.6000,19.362415,19.362415
20.1000,18.970823,18.970823
20.6000,18.596569,18.596569
21.1000,18.238500,18.238500
21.6000,17.895566,17.895566
22.1000,17.566804,17.566804
22.6000,17.251335,17.251335
23.1000,16.948351,16.948351
23.6000,16.657108,16.657108
24.1000,16.376922,16.376922
24.6000,16.107162,16.107162
25.1000,15.847244,15.847244
25.6000,15.596626,15.596626
26.1000,15.354809,15.354809
26.6000,15.121326,15.121326
27.1000,14.895745,14.895745
27.6000,14.677662,14.677662
28.1000,14.466703,14.466703
28.6000,14.262516,14.262516
29.1000,14.064774,14.064774
29.6000,13.873171,13.873171
30.1000,13.687417,13.687417
30.6000,13.507245,13.507245
31.1000,13.332401,13.332401
31.6000,13.162648,13.162648
32.1000,12.997762,12.997762
32.6000,12.837532,12.837532
33.1000,12.681760,12.681760
33.6000,12.530259,12.530259
34.1000,12.382852,12.382852
34.6000,12.239372,12.239372
35.1000,12.099661,12.099661
35.6000,11.963570,11.963570
36.1000,11.830957,11.830957
36.6000,11.701687,11.701687
37.1000,11.575634,11.575634
37.6000,11.452677,11.452677
38.1000,11.332700,11.332700
38.6000,11.215595,11.215595
39.1000,11.101258,11.101258
39.6000,10.989590,10.989590
40.1000,10.880497,10.880497
40.6000,10.773890,10.773890
41.1000,10.669682,10.669682
41.6000,10.567792,10.567792
42.1000,10.468142,10.468142
42.6000,10.370659,10.370659
43.1000,10.275270,10.275270
43.6000,10.181907,10.181907
44.1000,10.090507,10.090507
44.6000,10.001005,10.001005
45.1000,9.913344,9.913344
45.6000,9.827465,9.827465
46.1000,9.743314,9.743314
46.6000,9.660839,9.660839
47.1000,9.579988,9.579988
47.6000,9.500714,9.500714
48.1000,9.422970,9.422970
48.6000,9.346712,9.346712
49.1000,9.271896,9.271896
49.6000,9.198482,9.198482
50.1000,9.126429,9.126429
51.1000,8.986258,8.986258
51.6000,8.918068,8.918068
52.6000,8.785306,8.785306
53.1000,8.720671,8.720671
54.1000,8.594738,8.594738
54.6000,8.533383,8.533383
55.6000,8.413757,8.413757
56.1000,8.355435,8.355435
57.1000,8.241647,8.241647
57.6000,8.186135,8.186135
58.6000,8.077763,8.077763
59.1000,8.024861,8.024861
60.1000,7.921521,7.921521
60.6000,7.871046,7.871046
61.6000,7.772391,7.772391
62.1000,7.724177,7.724177
63.1000,7.629893,7.629893
63.6000,7.583790,7.583790
64.6000,7.493587,7.493587
65.1000,7.449458,7.449458
66.1000,7.363074,7.363074
66.6000,7.320793,7.320793
67.6000,7.237988,7.237988
68.1000,7.197440,7.197440
69.1000,7.117994,7.117994
69.6000,7.079073,7.079073
70.6000,7.002782,7.002782
71.1000,6.965391,6.965391
72.1000,6.892070,6.892070
72.6000,6.856120,6.856120
73.6000,6.785596,6.785596
74.1000,6.751004,6.751004
75.1000,6.683119,6.683119
75.6000,6.649809,6.649809
76.6000,6.584416,6.584416
77.1000,6.552317,6.552317
78.1000,6.489279,6.489279
78.6000,6.458326,6.458326
79.6000,6.397518,6.397518
80.1000,6.367650,6.367650
81.1000,6.308955,6.308955
81.6000,6.280115,6.280115
82.6000,6.223422,6.223422
83.1000,6.195558,6.195558
84.1000,6.140767,6.140767
84.6000,6.113829,6.113829
85.6000,6.060845,6.060845
86.1000,6.034788,6.034788
87.1000,5.983522,5.983522
87.6000,5.958303,5.958303
88.6000,5.908672,5.908672
89.1000,5.884251,5.884251
90.1000,5.836178,5.836178
90.6000,5.812517,5.812517
91.6000,5.765929,5.765929
92.1000,5.742993,5.742993
93.1000,5.697822,5.697822
93.6000,5.675579,5.675579
94.6000,5.631760,5.631760
95.1000,5.610178,5.610178
96.1000,5.567652,5.567652
96.6000,5.546702,5.546702
97.6000,5.505412,5.505412
98.1000,5.485066,5.485066
99.1000,5.444959,5.444959
99.6000,5.425192,5.425192
100.6000,5.385499,5.385499
101.1000,5.365692,5.365692
102.1000,5.326628,5.326628
102.6000,5.307365,5.307365
103.6000,5.269366,5.269366
104.1000,5.250625,5.250625
105.1000,5.213648,5.213648
105.6000,5.195407,5.195407
106.6000,5.159411,5.159411
107.1000,5.141650,5.141650
108.1000,5.106596,5.106596
108.6000,5.089298,5.089298
109.6000,5.055148,5.055148
110.1000,5.038293,5.038293
111.1000,5.005014,5.005014
111.6000,4.988586,4.988586
112.6000,4.956144,4.956144
113.1000,4.940127,4.940127
114.1000,4.908491,4.908491
114.6000,4.892869,4.892869
115.6000,4.862008,4.862008
116.1000,4.846767,4.846767
117.1000,4.816654,4.816654
117.6000,4.801779,4.801779
118.6000,4.772387,4.772387
119.1000,4.757866,4.757866
120.1000,4.729168,4.729168
120.6000,4.714988,4.714988
121.6000,4.686960,4.686960
122.1000,4.673110,4.673110
123.1000,4.645729,4.645729
123.6000,4.632196,4.632196
124.6000,4.605440,4.605440
125.1000,4.592214,4.592214
126.1000,4.566061,4.566061
126.6000,4.553132,4.553132
127.6000,4.527562,4.527562
128.1000,4.514919,4.514919
129.1000,4.489913,4.489913
129.6000,4.477547,4.477547
130.6000,4.453086,4.453086
131.1000,4.440989,4.440989
132.1000,4.417055,4.417055
132.6000,4.405217,4.405217
133.6000,4.381794,4.381794
134.1000,4.370207,4.370207
135.1000,4.347278,4.347278
135.6000,4.335934,4.335934
136.6000,4.313484,4.313484
137.1000,4.302376,4.302376
138.1000,4.280389,4.280389
138.6000,4.269509,4.269509
139.6000,4.247972,4.247972
140.1000,4.237314,4.237314
141.1000,4.216212,4.216212
141.6000,4.205768,4.205768
142.6000,4.185090,4.185090
143.1000,4.174854,4.174854
144.1000,4.154586,4.154586
144.6000,4.144552,4.144552
145.6000,4.124681,4.124681
146.1000,4.114844,4.114844
147.1000,4.095360,4.095360
147.6000,4.085712,4.085712
148.6000,4.066603,4.066603
149.1000,4.057141,4.057141
150.1000,4.038396,4.038396
150.6000,4.029113,4.029113
151.6000,4.010723,4.010723
152.1000,4.001615,4.001615
153.1000,3.983568,3.983568
153.6000,3.974630,3.974630
154.6000,3.956918,3.956918
155.1000,3.948144,3.948144
156.1000,3.930758,3.930758
156.6000,3.922144,3.922144
157.6000,3.905074,3.905074
158.1000,3.896617,3.896617
159.1000,3.879855,3.879855
159.6000,3.871549,3.871549
160.6000,3.855087,3.855087
161.1000,3.846929,3.846929
162.1000,3.830759,3.830759
162.6000,3.822745,3.822745
163.6000,3.806858,3.806858
164.1000,3.798985,3.798985
165.1000,3.783375,3.783375
165.6000,3.775637,3.775637
166.6000,3.760297,3.760297
167.1000,3.752692,3.752692
168.1000,3.737614,3.737614
168.6000,3.730140,3.730140
169.6000,3.715317,3.715317
170.1000,3.707969,3.707969
171.1000,3.693396,3.693396
171.6000,3.686171,3.686171
172.6000,3.671841,3.671841
173.1000,3.664736,3.664736
174.1000,3.650644,3.650644
174.6000,3.643656,3.643656
175.6000,3.629795,3.629795
176.1000,3.622921,3.622921
177.1000,3.609286,3.609286
177.6000,3.602523,3.602523
178.6000,3.589108,3.589108
179.1000,3.582455,3.582455
180.1000,3.569255,3.569255
180.6000,3.562708,3.562708
181.6000,3.549717,3.549717
182.1000,3.543274,3.543274
183.1000,3.530488,3.530488
183.6000,3.524146,3.524146
184.6000,3.511561,3.511561
185.1000,3.505318,3.505318
186.1000,3.492928,3.492928
186.6000,3.486781,3.486781
187.6000,3.474583,3.474583
188.1000,3.468530,3.468530
189.1000,3.456519,3.456519
189.6000,3.450558,3.450558
190.6000,3.438729,3.438729
191.1000,3.432859,3.432859
192.1000,3.421208,3.421208
192.6000,3.415426,3.415426
193.6000,3.403949,3.403949
194.1000,3.398254,3.398254
195.1000,3.386948,3.386948
195.6000,3.381336,3.381336
196.6000,3.370197,3.370197
197.1000,3.364668,3.364668
198.1000,3.353692,3.353692
198.6000,3.348243,3.348243
199.6000,3.337427,3.337427
200.1000,3.332057,3.332057
201.1000,3.321397,3.321397
201.6000,3.316105,3.316105
202.6000,3.305597,3.305597
203.1000,3.300381,3.300381
204.1000,3.290022,3.290022
204.6000,3.284880,3.284880
205.6000,3.274668,3.274668
206.1000,3.269598,3.269598
207.1000,3.259530,3.259530
207.6000,3.254531,3.254531
208.6000,3.244603,3.244603
209.1000,3.239674,3.239674
210.1000,3.229883,3.229883
210.6000,3.225022,3.225022
211.6000,3.215366,3.215366
212.1000,3.210572,3.210572
213.1000,3.201048,3.201048
213.6000,3.196318,3.196318
214.6000,3.186924,3.186924
215.1000,3.182259,3.182259
216.1000,3.172991,3.172991
216.6000,3.168388,3.168388
217.6000,3.159245,3.159245
218.1000,3.154704,3.154704
219.1000,3.145682,3.145682
219.6000,3.141201,3.141201
220.6000,3.132299,3.132299
221.1000,3.127877,3.127877
222.1000,3.119092,3.119092
222.6000,3.114728,3.114728
223.6000,3.106058,3.106058
224.1000,3.101751,3.101751
225.1000,3.093193,3.093193
225.6000,3.088942,3.088942
226.6000,3.080494,3.080494
227.1000,3.076298,3.076298
228.1000,3.067959,3.067959
228.6000,3.063816,3.063816
229.6000,3.055583,3.055583
230.1000,3.051493,3.051493
231.1000,3.043365,3.043365
231.6000,3.039326,3.039326
232.6000,3.031300,3.031300
233.1000,3.027312,3.027312
234.1000,3.019386,3.019386
234.6000,3.015448,3.015448
235.6000,3.007621,3.007621
236.1000,3.003732,3.003732
237.1000,2.996002,2.996002
237.6000,2.992161,2.992161
238.6000,2.984525,2.984525
239.1000,2.980731,2.980731
240.1000,2.973190,2.973190
240.6000,2.969442,2.969442
241.6000,2.961992,2.961992
242.1000,2.958289,2.958289
243.1000,2.950929,2.950929
243.6000,2.947271,2.947271
244.6000,2.939999,2.939999
245.1000,2.936385,2.936385
246.1000,2.929201,2.929201
246.6000,2.925630,2.925630
247.6000,2.918530,2.918530
248.1000,2.915002,2.915002
249.1000,2.907986,2.907986
249.6000,2.904499,2.904499
